ETL_YMD,O_CELL_ID,O_CELL_X,O_CELL_Y,O_CELL_TP,D_CELL_ID,D_CELL_X,D_CELL_Y,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT
20240307,다사57504400,957625,1944125,2,다사31005825,931125,1958375,0,8,10,1,7,9386,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0
20240321,다사54755250,954875,1952625,0,다사49754525,949875,1945375,2,22,22,1,3,2438,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0
20240331,다사44255350,944375,1953625,0,다사44255300,944375,1953125,2,17,18,1,3,116,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
20240315,다사35256300,935375,1963125,1,다사50754450,950875,1944625,2,18,19,1,3,5984,728,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240330,다사38253700,938375,1937125,0,다사38253700,938375,1937125,2,7,7,1,3,14,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0
20240311,라사11500950,1011625,1909625,0,다사40251150,940375,1911625,0,16,18,1,7,19331,1509,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240315,다사52507725,952625,1977375,0,다사53257825,953375,1978375,2,17,19,1,3,373,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0
20240310,다사52504775,952625,1947875,0,다사42254875,942375,1948875,0,13,14,1,7,3056,778,0,0,3.72,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0
20240317,다사43004375,943125,1943875,0,다사43254450,943375,1944625,0,12,12,1,7,243,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0
20240327,다사56005350,956125,1953625,0,다사64754575,964875,1945875,3,13,14,1,7,3081,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0
20240302,다사61504525,961625,1945375,0,다사46754250,946875,1942625,0,11,12,1,7,6179,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,2.46,0,0,0,0,0
20240306,다사09507375,909625,1973875,2,다사10507225,910625,1972375,0,8,8,1,7,545,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,3.63,0,0,0
20240303,다사53504875,953625,1948875,2,다사58254425,958375,1944375,1,13,14,1,1,1890,723,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240325,다사36005675,936125,1956875,0,다사35505600,935625,1956125,0,15,16,1,7,287,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0
20240304,다사68754775,968875,1947875,0,다사59504550,959625,1945625,0,11,12,1,7,3303,869,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0
20240325,다사52003150,952125,1931625,2,다사58254750,958375,1947625,0,13,15,1,7,4895,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
20240328,다사71756200,971875,1962125,2,다사71756175,971875,1961875,0,7,7,1,7,71,69,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0
20240322,다사38004300,938125,1943125,1,다사44254250,944375,1942625,2,16,17,1,3,1767,602,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240304,다사48504425,948625,1944375,1,다사60004625,960125,1946375,2,18,19,1,3,3273,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0
20240312,다사78002850,978125,1928625,1,다사76003100,976125,1931125,2,18,18,1,3,780,75,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240322,다사74003725,974125,1937375,0,다사78253425,978375,1934375,1,16,16,1,1,1422,17,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240311,다사51754025,951875,1940375,6,다사48755050,948875,1950625,3,17,18,1,7,2509,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240303,다사61755200,961875,1952125,1,다사56005225,956125,1952375,3,12,14,1,7,1646,2137,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240325,다사36254675,936375,1946875,1,다사67255025,967375,1950375,2,18,20,1,3,9812,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0
20240326,다사62505675,962625,1956875,2,다사62505675,962625,1956875,1,15,16,1,1,33,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0
20240302,다사59754975,959875,1949875,0,다사59754925,959875,1949375,0,14,15,1,7,219,807,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0
20240324,다사30255400,930375,1954125,1,다사27255200,927375,1952125,2,19,19,1,3,1213,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0
20240318,다사95751575,995875,1915875,2,다사95251950,995375,1919625,0,13,13,2,7,1111,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
20240314,다사36754400,936875,1944125,2,다사40254325,940375,1943375,6,8,8,1,7,808,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240303,다사55508125,955625,1981375,1,다사73754825,973875,1948375,2,16,17,2,3,10762,919,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240324,다사23004850,923125,1948625,0,다사03003400,903125,1934125,0,9,10,1,7,7806,1511,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240328,다사42254425,942375,1944375,0,다사41504350,941625,1943625,2,21,21,1,3,298,137,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240310,다사34756350,934875,1963625,1,다사36256150,936375,1961625,0,18,18,1,7,694,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240309,다사49504300,949625,1943125,1,다사50504300,950625,1943125,2,15,16,1,3,290,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0
20240327,다사67508300,967625,1983125,1,다사68508375,968625,1983875,0,14,14,1,7,344,9,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0
20240309,다사74006550,974125,1965625,2,다사76505075,976625,1950875,0,11,12,1,7,4265,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
20240327,다사66004675,966125,1946875,3,다사59254325,959375,1943375,2,20,20,1,3,1791,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240316,다사46753950,946875,1939625,0,다사42252000,942375,1920125,2,18,19,1,3,4607,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0
20240325,다사50755125,950875,1951375,1,다사49005075,949125,1950875,3,18,18,1,7,653,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0
20240324,다바60509750,960625,1897625,0,다사58001825,958125,1918375,0,10,10,1,7,9006,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,3.25,0,0,0,0,0
20240321,다사58255025,958375,1950375,2,다사61254975,961375,1949875,0,8,8,1,7,732,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240327,다사46004875,946125,1948875,0,다사45504800,945625,1948125,1,13,13,1,7,277,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240329,다사48505125,948625,1951375,1,다사48005175,948125,1951875,0,20,20,1,7,195,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0
20240327,다사58754900,958875,1949125,0,다사55005200,955125,1952125,0,13,15,1,7,1080,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0
20240311,다다06500200,906625,1502125,0,다사28006150,928125,1961625,2,21,23,1,3,150415,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0
20240313,다사61000650,961125,1906625,2,다사60750650,960875,1906625,0,19,19,1,7,80,49,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240329,다사48504125,948625,1941375,2,다사48254225,948375,1942375,1,12,12,1,7,262,72,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240324,다사61005775,961125,1957875,0,다사61005900,961125,1959125,0,10,11,1,7,319,524,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240301,다사58001150,958125,1911625,2,다사58751675,958875,1916875,0,18,18,1,7,1505,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240316,다사51504300,951625,1943125,2,다사56505050,956625,1950625,0,11,13,1,7,2964,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240319,다사50754525,950875,1945375,2,다사60001750,960125,1917625,1,5,8,1,1,8798,3140,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240308,다사41002450,941125,1924625,0,다사41252350,941375,1923625,2,17,18,1,3,311,1036,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0
20240311,다사61500925,961625,1909375,0,다사47750175,947875,1901875,0,13,13,1,7,3752,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0
20240328,다사54252200,954375,1922125,0,다사54502175,954625,1921875,1,12,12,1,2,129,51,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,3.5,3.2,0,0,0,0,0,0,0,0,0,0,0,0
20240328,다사31005800,931125,1958125,0,다사30255825,930375,1958375,1,13,13,1,1,219,151,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240318,다사67754550,967875,1945625,2,다사59004650,959125,1946625,1,6,7,1,1,1966,889,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
